Time,Acel X,Acel Y,Acel z,Gyro X,Gyro Y,Gyro Z
1661111696.740602,-13700,5376,8388,-2544,8927,3123
1661111696.851116,-14028,6796,5116,3190,4444,2263
1661111696.961957,-13940,6208,5944,1121,8542,455
1661111697.072247,-13428,6432,3696,178,7209,2667
1661111697.187178,-14780,7864,2996,268,7554,3058
1661111697.297701,-15364,7596,1080,-430,3208,1349
1661111697.408208,-13948,8616,1264,816,1585,1678
1661111697.518666,-13484,8220,112,-183,1898,143
1661111697.629581,-13728,8800,164,433,3485,1627
1661111697.735919,-13676,8784,-964,379,1971,888
1661111697.846371,-13520,8804,-1176,137,1028,405
1661111697.956971,-13732,8840,-1632,105,1556,143
1661111698.063523,-11312,7904,-2696,-142,2274,-992
1661111698.174044,-13516,8764,-2224,-753,1809,1216
1661111698.284704,-6948,10480,-6276,-1519,12674,980
1661111698.395215,-11204,9728,-3420,-1798,8955,3414
1661111698.509962,-11280,10184,-4948,-978,2766,548
1661111698.620533,-10912,10112,-5356,-590,746,29
1661111698.731133,-10864,9972,-5236,-316,529,144
1661111698.841615,-10772,10224,-5440,-659,-334,-42
1661111698.952091,-10504,10316,-5268,-1018,1666,66
1661111699.066781,-10712,10620,-5080,-1058,499,-275
1661111699.173895,-10560,10616,-5192,-1358,1240,387
1661111699.288042,-12692,-17320,-8364,6831,-2491,13317
1661111699.403172,-11196,10260,-5224,-806,1717,857
1661111699.517777,-10232,11096,-5304,-236,861,260
1661111699.628189,-9872,11304,-5436,-543,1579,955
1661111699.742943,-9224,11240,-5388,-155,623,651
1661111699.853228,-10424,11460,-5088,-1297,6987,4213
1661111699.963938,-9032,11944,-5460,89,-450,1868
1661111700.074583,-6784,12368,-5804,-388,494,2787
1661111700.189496,-6848,12704,-5384,-4385,1835,6082
1661111700.304102,-5868,14192,-5012,-2148,2580,4832
1661111700.410264,-4312,13816,-4660,-4204,2721,3984
1661111700.525287,-3916,14556,-3560,-5712,4371,4794
1661111700.640091,-2300,15924,-3148,-2606,1755,2073
1661111700.754535,-3328,15600,-2352,-62,-1135,-1469
1661111700.865267,-3252,15620,-2564,-54,-654,-743
1661111700.975716,-2912,15684,-2456,-276,1426,1939
1661111701.086593,-2948,15700,-2660,-479,834,113
1661111701.192659,-2896,15488,-2328,15,-551,-638
1661111701.307525,-3072,15816,-1864,-548,1212,997
1661111701.421946,-1508,16308,-1336,-3102,3833,4132
1661111701.532502,-1804,15988,-740,-4906,-308,-2747
